<<<<<<< HEAD
"Variable","Mean","SE"
"mean_sbp",121.5923847736,0.362054415688938
"mean_dbp",73.7041051470789,0.252064633371511
"RIDAGEYR",47.5423160355795,0.586376021574121
"BMXBMI",29.7166380920583,0.18141284478326
=======
"Variable","Mean","SE"
"mean_sbp",121.5923847736,0.362054415688938
"mean_dbp",73.7041051470789,0.252064633371511
"RIDAGEYR",47.5423160355795,0.586376021574121
"BMXBMI",29.7166380920583,0.18141284478326
>>>>>>> aae1f171947e47ecc5d81e736d288891c6fd4a20
